city,lat,lng,country,iso2,admin_name,capital,population,population_proper
San José,-28.3667,-65.7000,Argentina,AR,Catamarca,minor,2064,2064
Bañado de Ovanta,-28.1000,-65.3167,Argentina,AR,Catamarca,minor,971,971
Arraga,-28.0667,-64.2333,Argentina,AR,Santiago del Estero,minor,903,903
Alba Posse,-27.5500,-54.7000,Argentina,AR,Misiones,minor,481,481
Tandil,-37.3167,-59.1333,Argentina,AR,Buenos Aires,minor,400,400
Olivos,-34.5075,-58.4870,Argentina,AR,Buenos Aires,minor,,
Tigre,-34.5000,-58.6167,Argentina,AR,Buenos Aires,minor,,
Santa Lucía,-31.5399,-68.4950,Argentina,AR,San Juan,minor,,
El Carmen,-24.3875,-65.2592,Argentina,AR,Jujuy,minor,,
Dolores,-30.9060,-64.5358,Argentina,AR,Córdoba,minor,,
Monte Hermoso,-38.9167,-61.5500,Argentina,AR,Buenos Aires,minor,,
Villa Alberdi,-27.5859,-65.6204,Argentina,AR,Tucumán,minor,,
Campo Grande,-27.2167,-54.9667,Argentina,AR,Misiones,minor,,
Puerto Esperanza,-26.0167,-54.6500,Argentina,AR,Misiones,minor,,
Santa Ana,-27.3500,-55.6000,Argentina,AR,Misiones,minor,,
Fernández,-27.9167,-63.8833,Argentina,AR,Santiago del Estero,minor,,
San Javier,-27.8739,-55.1347,Argentina,AR,Misiones,minor,,
El Soberbio,-27.3000,-54.2167,Argentina,AR,Misiones,minor,,
Chicoana,-25.1000,-65.5500,Argentina,AR,Salta,minor,,
Montecarlo,-26.5667,-54.7833,Argentina,AR,Misiones,minor,,
Salto,-34.2929,-60.2546,Argentina,AR,Buenos Aires,minor,,
La Cocha,-27.7700,-65.5858,Argentina,AR,Tucumán,minor,,
San Antonio,-24.3675,-65.3353,Argentina,AR,Jujuy,minor,,
Villa San Isidro,-31.4868,-68.3254,Argentina,AR,San Juan,minor,,
Santa Rosa del Conlara,-32.3428,-65.2089,Argentina,AR,San Luis,minor,,
Tupungato,-33.3715,-69.1484,Argentina,AR,Mendoza,minor,,
San Miguel del Monte,-35.4396,-58.8067,Argentina,AR,Buenos Aires,minor,,
Concepción de la Sierra,-27.9833,-55.5167,Argentina,AR,Misiones,minor,,
Saladillo,-35.6371,-59.7779,Argentina,AR,Buenos Aires,minor,,
Suipacha,-34.7702,-59.6878,Argentina,AR,Buenos Aires,minor,,
Rojas,-34.1953,-60.7350,Argentina,AR,Buenos Aires,minor,,
San Pedro,-26.6292,-54.1133,Argentina,AR,Misiones,minor,,
Burruyacú,-26.5000,-64.7500,Argentina,AR,Tucumán,minor,,
Vedia,-34.4956,-61.5414,Argentina,AR,Buenos Aires,minor,,
Salliqueló,-36.7522,-62.9605,Argentina,AR,Buenos Aires,minor,,
La Caldera,-24.6000,-65.3833,Argentina,AR,Salta,minor,,
Concarán,-32.5667,-65.2500,Argentina,AR,San Luis,minor,,
Graneros,-27.6500,-65.4500,Argentina,AR,Tucumán,minor,,
Metán,-25.4990,-64.9739,Argentina,AR,Salta,minor,,
Esquina,-30.0144,-59.5272,Argentina,AR,Corrientes,minor,,
San Carlos de Bolívar,-36.2500,-61.1000,Argentina,AR,Buenos Aires,minor,,
Aimogasta,-28.5500,-66.8167,Argentina,AR,La Rioja,minor,,
